Primary Table Name,Primary Column Name,Foreign Key Table,Foreign Key Column,Is Comma Separated,Priority Order
users,usersId,amendment,userId,,
,,chartnotes_change_audit_tbl,user_id,,
,,chart_log,operator_id,,
,,chart_pt_lock_tbl,user_id,,
,,consent_multiple_form,signSurgeon1Id,,
,,consent_multiple_form,signNurseId,,
,,consent_multiple_form,signAnesthesia1Id,,
,,consent_multiple_form,signWitness1Id,,
,,dischargesummarysheet,surgeonId,,
,,dischargesummarysheet,signSurgeon1Id,,
,,eposted,modified_operator_id,,
,,eposted,created_operator_id,,
,,finalize_history,finalize_action_user_id,,
,,genanesthesianursesnotes,nurseId,,
,,genanesthesianursesnotes,createdByUserId,,
,,genanesthesianursesnotes,relivedNurseId,,
,,genanesthesianursesnotes,signNurseId,,
,,genanesthesiarecord,anesthesiologistId,,
,,genanesthesiarecord,relivedNurseId,,
,,genanesthesiarecord,reliefNurseId,,
,,genanesthesiarecord,signAnesthesia1Id,,
,,genanesthesiarecord,signAnesthesia2Id,,
,,history_physicial_clearance,signSurgeon1Id,,
,,history_physicial_clearance,signAnesthesia1Id,,
,,history_physicial_clearance,signNurseId,,
,,history_physicial_clearance,save_operator_id,,
,,injection,signSurgeon1Id,,
,,injection,signNurse1Id,,
,,injection,signNurse2Id,,
,,iolink_consent_filled_form,signSurgeon1Id,,
,,iolink_consent_filled_form,signNurseId,,
,,iolink_consent_filled_form,signAnesthesia1Id,,
,,iolink_consent_filled_form,signWitness1Id,,
,,iolink_patient_allergy,operator_id,,
,,iolink_patient_prescription_medication,operator_id,,
,,iolink_preophealthquestionnaire,nurseId,,
,,iolink_preophealthquestionnaire,signNurseId,,
,,laser_procedure_patient_table,verified_surgeon_Id,,
,,laser_procedure_patient_table,verified_nurse_Id,,
,,laser_procedure_patient_table,signSurgeon1Id,,
,,laser_procedure_patient_table,signNurseId,,
,,lasusedpassword,user_id,,
,,localanesthesiarecord,surgeonId,,
,,localanesthesiarecord,anesthesiologistId,,
,,localanesthesiarecord,relivedPreNurseId,,
,,localanesthesiarecord,relivedIntraNurseId,,
,,localanesthesiarecord,relivedPostNurseId,,
,,localanesthesiarecord,signAnesthesia1Id,,
,,localanesthesiarecord,signAnesthesia2Id,,
,,localanesthesiarecord,signAnesthesia3Id,,
,,localanesthesiarecord,signSurgeon1Id,,
,,localanesthesiarecord,reliefNurseId,,
,,localanesthesiarecord,signAnesthesia4Id,,
,,login_logout_audit_tbl,user_id,,
,,msg_tbl,msg_user_id,,
,,narcotics_data_tbl,user_id,,
,,narcotics_log_tbl,user_id,,
,,operatingroomrecords,iolConfirmedWithSurgeonId,,
,,operatingroomrecords,surgeonId1,,
,,operatingroomrecords,surgeonId2,,
,,operatingroomrecords,anesthesiologistId,,
,,operatingroomrecords,scrubTechId1,,
,,operatingroomrecords,scrubTechId2,,
,,operatingroomrecords,circulatingNurseId ,,
,,operatingroomrecords,nurseId,,
,,operatingroomrecords,signNurseId,,
,,operatingroomrecords,signSurgeon1Id,,
,,operatingroomrecords,signAnesthesia1Id,,
,,operatingroomrecords,signAnesthesia2Id,,
,,operatingroomrecords,signSurgeon2Id,,
,,operatingroomrecords,signSurgeon3Id,,
,,operatingroomrecords,signScrubTech1Id,,
,,operatingroomrecords,signScrubTech2Id,,
,,operatingroomrecords,signNurse1Id,,
,,operativereport,userId,,
,,operativereport,signSurgeon1Id,,
,,password_change_reset_audit_tbl,user_id,,
,,password_change_reset_audit_tbl,operator_id,,
,,patientconfirmation,surgeonId,,
,,patientconfirmation,anesthesiologist_id,,
,,patientconfirmation,nurseId,,
,,patient_allergies_tbl,operator_id,,
,,patient_anesthesia_medication_tbl,operator_id,,
,,patient_instruction_sheet,signSurgeon1Id,,
,,patient_instruction_sheet,signNurseId,,
,,patient_instruction_sheet,signWitness1Id,,
,,patient_in_waiting_tbl,operator_id,,
,,patient_medication_reconciliation_sheet,signNurseId,,
,,patient_medication_reconciliation_sheet,signSurgeon1Id,,
,,patient_prescription_medication_healthquest_tbl,operator_id,,
,,patient_prescription_medication_tbl,operator_id,,
,,postopnursingrecord,nurseId,,
,,postopnursingrecord,relivedNurseId,,
,,postopnursingrecord,signNurseId,,
,,postopphysicianorders,surgeonId,,
,,postopphysicianorders,nurseId,,
,,postopphysicianorders,signSurgeon1Id,,
,,postopphysicianorders,signNurseId,,
,,postopphysicianorders,signNurse1Id,,
,,postopphysicianorders,relivednurse,,
,,postopphysicianorders,saved_operator_id,,
,,preopgenanesthesiarecord,createdByUserId,,
,,preopgenanesthesiarecord,relivedNurseId,,
,,preopgenanesthesiarecord,nurseId,,
,,preophealthquestionnaire,nurseId,,
